Months, PRED, PETD, CLDD, DTRD, TMPD, TMND, TMXD, VAPD, WETD,  FRSD
May,38.9,6.2,58.5,12.7,29.5,23.2,35.9,22.2,4.07,0
Jun,186.8,5.2,58.5,10.8,27.3,21.9,32.7,23.3,11.37,0
Jul,207.9,4.2,67.3,9.3,25.8,21.2,30.5,24.1,14.31,0
Aug,305,3.5,71.3,8.6,24.1,19.8,28.4,23.9,16.64,0
Sep,191.2,4,62.2,10.4,25.5,20.3,30.7,24.1,11.87,0
Oct,30.8,5.1,57.4,13.8,26.9,20,33.8,18.1,2.44,0
Nov,0,6.2,47.7,16.4,26.6,18.4,34.8,10.1,0,0
Dec,0,5.9,46.8,16.7,23.5,15.2,31.9,9.3,0,0
Jan,0,6.5,36.7,19.2,22.8,13.2,32.4,5.9,0,0
Feb,0,7.6,43.8,17.5,27.8,19.1,36.6,7.4,0,0
Mar,3.6,7,61.7,14.7,27.4,20.1,34.8,9.4,0,0
Apr,12.7,7.1,61.6,13.9,30,23.1,37,16.1,1.48,0
May,54.4,6,62,11.9,29.9,24,35.9,23.6,5.12,0
Jun,147.8,5.5,57.1,11.7,27.9,22.1,33.8,23.4,10.4,0
Jul,219.4,4.2,68.5,9.6,25.7,20.9,30.5,23.7,14.58,0
Aug,278.9,3.7,72.4,8.7,25.2,20.9,29.6,24.4,16.01,0
Sep,154,4.2,60.7,11.1,26.3,20.8,31.9,24.9,10.68,0
Oct,60.9,4.6,63.1,11.6,26.8,21,32.6,20.2,3.74,0
Nov,0,5.8,47.1,16,23.8,15.8,31.8,8.8,0,0
Dec,0,6.1,37.4,19,22.7,13.2,32.2,8.3,0,0
Jan,0,6,49.2,16.4,22.5,14.3,30.7,6.4,0,0
Feb,0,7,45.4,16.9,24.1,15.7,32.6,5.8,0,0
Mar,0.8,7.7,53.5,17.1,28.9,20.4,37.5,9,0,0
Apr,6.5,7.3,59.4,14.2,31,23.9,38.1,16.7,1.06,0
May,54.6,6.2,61.1,12.7,29.7,23.4,36.1,22.1,5.23,0
Jun,119.4,5.3,55.9,11.6,27.3,21.5,33.1,22.9,9.34,0
Jul,273.1,4.1,68.6,9.2,25.7,21.1,30.3,24,15.99,0
Aug,367.8,3.4,75.3,7.6,24.1,20.3,27.9,23.8,18.05,0
Sep,134,4,62.8,9.9,25.3,20.4,30.3,24,10.06,0
Oct,3.6,5.2,53.4,15,26.3,18.8,33.8,17,0.3,0
Nov,0,5.9,47.3,16.3,24,15.9,32.2,8.7,0,0
Dec,0,5.9,45.6,17.2,23.5,14.9,32.1,9.3,0,0
Jan,0,6.3,47.7,17.4,23.6,14.9,32.3,6.5,0,0
Feb,0,7.3,48,17.5,25.8,17.1,34.6,6.1,0,0
Mar,0.3,7.3,54.2,16.5,26.9,18.7,35.2,8.5,0,0
Apr,5.6,6.9,61,14,29.3,22.3,36.3,16.2,0.91,0
May,31.7,6.5,57,13.8,29.8,22.9,36.7,21.5,3.53,0
Jun,238.4,5.2,58.5,11.1,27.2,21.7,32.8,23.1,12.87,0
Jul,212.1,4.2,68.7,9.5,25.8,21.1,30.6,24.2,14.35,0
Aug,260.1,3.5,72.4,8.9,24.3,19.9,28.8,24,15.52,0
Sep,121.2,4,62.7,10.5,25.6,20.4,30.9,24.5,9.69,0
Oct,9,5.2,53.6,14.6,26.4,19.1,33.7,17.6,1.21,0
Nov,0,5.8,43.7,16.9,23.1,14.7,31.6,8,0,0
Dec,0,5.6,43.2,17.6,21.1,12.3,29.9,8.1,0,0
Jan,0,6.2,45.5,17.9,22.1,13.2,31.1,5.6,0,0
Feb,0,6.9,50.9,16.7,23.7,15.4,32.1,5.6,0,0
Mar,0,7.5,53,16.8,28.2,19.8,36.6,8.8,0,0
Apr,66.6,6.9,61.9,13.4,29.7,23,36.4,16.1,3.71,0
May,133.7,6,62.4,12.2,29.5,23.4,35.6,22.2,7.55,0
Jun,125.8,5.3,55.9,11.5,27.3,21.6,33.1,23,9.79,0
Jul,116.9,4.6,66.1,10.4,27.1,21.9,32.3,24.7,10.95,0
Aug,234.7,3.7,71.5,8.9,25.3,20.9,29.8,25.1,14.73,0
Sep,205.5,3.9,63.5,9.5,25.5,20.8,30.3,25.1,12.26,0
Oct,21.6,5,57.2,13.8,26.5,19.6,33.4,18.2,2.21,0
Nov,0,6,49.4,17,24.8,16.3,33.3,9,0,0
Dec,0,5.8,42,17.3,22.6,14,31.3,9.1,0,0
Jan,0,5.6,52.3,16.4,20.1,11.9,28.3,5.7,0,0
Feb,0,7.1,49.3,16.7,25.2,16.9,33.6,6.4,0,0
Mar,3,7.1,60,15.1,27.3,19.8,34.9,9.2,0,0
Apr,8.1,7.3,58.8,14.9,30.7,23.3,38.2,16.3,0.76,0
May,36.3,6.4,57.8,13.4,30,23.3,36.7,22.1,3.5,0
Jun,141.2,5.4,57.3,11.5,27.9,22.2,33.7,23.6,10.31,0
Jul,219.2,4.2,68.6,9.2,26,21.4,30.6,24.3,14.6,0
Aug,252.2,3.4,74.5,8.1,24.6,20.6,28.7,24.8,15.06,0
Sep,162,3.9,61.5,10.1,24.9,19.9,30,24,11.04,0
Oct,4.2,5.1,55,14.5,25.6,18.4,32.9,16.7,0.32,0
Nov,0,5.9,46.3,17.1,23.7,15.2,32.3,8.3,0,0
Dec,0,6,47.7,17.5,23.7,15,32.5,9.3,0,0
Jan,0,5.9,52.3,16.5,21.2,13,29.5,5.8,0,0
Feb,0,7.2,47.8,17.3,25.2,16.6,33.9,6.1,0,0
Mar,1.7,7.5,54.5,16.7,28.5,20.2,36.9,9.2,0,0
Apr,75.9,6.7,65.6,13.6,28.8,22,35.6,15.7,5.56,0
May,80,6,61.3,12.4,28.6,22.4,34.8,21,6.55,0
Jun,139.8,5.1,58.3,10.5,26.8,21.6,32.1,22.8,10.26,0
Jul,182,4.1,68.5,9.2,25.5,20.9,30.1,23.6,13.42,0
Aug,222.5,3.9,70.3,9.3,26.3,21.7,31,26.1,14.36,0
Sep,73.5,4.2,60.4,11.2,26.3,20.7,31.9,25,7.69,0
Oct,4,5.2,51.7,14.5,26.9,19.7,34.2,18.8,0.41,0
Nov,0,6,46.9,16.8,24.9,16.5,33.3,9.1,0,0
Dec,0,6.1,41.9,18.2,24,14.9,33.1,9.6,0,0
Jan,0,6,47.1,17.2,21.5,12.9,30.1,5.9,0,0
Feb,0,7.6,39.8,18.5,26.3,17.1,35.6,6.4,0,0
Mar,1.8,7.9,52.6,17.2,30.4,21.8,39,9.9,0,0
Apr,17.6,6.9,70.1,12.9,31.2,24.8,37.7,17.9,2.36,0
May,45.4,6.1,66.3,12.6,30.2,23.9,36.5,23.2,5.06,0
Jun,131.3,5.3,58.6,10.8,28.6,23.2,34,25.1,9.85,0
Jul,198.7,4.2,67.5,9.2,26.4,21.8,31,25.1,13.85,0
Aug,210.3,3.7,70.2,8.7,25.3,21,29.7,25.3,14.03,0
Sep,126.4,4,62.6,10,26.1,21.1,31.1,25.2,9.86,0
Oct,64.9,4.8,61.1,12,27.5,21.5,33.5,20.6,4.04,0
Nov,0,5.9,50,16.2,24.9,16.8,33,9.3,0,0
Dec,0,6.5,27.9,20,24.2,14.2,34.2,9.1,0,0
Jan,0,6.3,43.1,17.8,23.3,14.4,32.2,6.5,0,0
Feb,0,7.1,46.6,16.9,24.6,16.2,33.1,5.9,0,0
Mar,3.5,7.6,48.5,17.3,27.7,19.1,36.4,8.4,0,0
Apr,0.1,7.1,61.2,13.5,30.3,23.6,37.1,16.4,0.07,0
May,50,6.3,58.8,12.8,30,23.6,36.4,22.2,5.27,0
Jun,58.1,5.7,55.5,12.1,28.6,22.6,34.7,24.1,6.78,0
Jul,207.8,4.2,66.8,9.5,26.4,21.7,31.2,25.3,14.24,0
Aug,251.9,3.5,73.6,8.4,25.1,20.9,29.3,25.4,15.29,0
Sep,147.5,3.9,63.7,10.1,25.4,20.4,30.5,24.4,10.36,0
Oct,6.9,5.1,53.1,14.4,26.2,19,33.4,17.6,1.06,0
Nov,0,5.8,46.7,16.2,24,15.9,32.1,9.1,0,0
Dec,0,5.6,43.8,17.1,21.7,13.2,30.3,8.8,0,0
Jan,0,5.9,43.3,17,20.4,11.9,28.9,5.2,0,0
Feb,0,7.2,46.8,16.9,25.7,17.3,34.2,6.3,0,0
Mar,0.4,7.8,51.4,17,30,21.5,38.5,10.5,0,0
Apr,3.5,7.3,56,14.9,30.1,22.7,37.6,16,0.91,0
May,73.8,6.4,56.3,13.5,29.8,23.1,36.6,22.2,6.3,0
Jun,49.4,5.6,56.5,12.1,28.5,22.5,34.6,23.7,6.07,0
Jul,160.9,4.2,67.8,9.7,25.8,21,30.7,24.1,12.4,0
Aug,269.8,3.4,72.4,8.9,24,19.6,28.5,24.1,15.68,0
Sep,157.6,3.9,60.5,11,25,19.5,30.5,24.3,10.89,0
Oct,1.7,5,52.3,14.1,26,19,33.1,18.2,0.42,0
Nov,0,6,42.6,17.3,24.2,15.6,32.9,8.4,0,0
Dec,0,5.5,50,15.7,22.2,14.4,30.1,9.3,0,0
Jan,0,6,49.8,17,21.8,13.3,30.3,5.7,0,0
Feb,0,7.2,47,16.8,25.8,17.4,34.2,7,0,0
Mar,0,7.5,58.3,15.6,29.4,21.6,37.2,10,0,0
Apr,35.6,6.9,64.3,13,30.3,23.8,36.8,16.6,4.16,0
May,131.4,6,63.6,11.7,29.7,23.9,35.6,22.9,8.08,0
Jun,107.1,5.2,58,11,27.3,21.8,32.8,23.4,8.99,0
Jul,128.4,4.6,64.9,10.3,27.2,22.1,32.4,25.5,11.42,0
Aug,197.3,4,68,9.6,26.1,21.3,30.9,25.3,13.54,0
Sep,68.8,4.4,59,11.5,26.9,21.2,32.7,25.8,7.48,0
Oct,14.2,5.1,55.8,13.1,27.4,20.9,34,19.9,1.66,0
Nov,0,5.7,47.6,15.8,23.3,15.4,31.2,8.2,0,0
Dec,0,5.7,48.5,16.1,22.9,14.9,31,9.6,0,0
Jan,0,6.1,48.7,16.2,22.9,14.8,31,6.7,0,0
Feb,0,7.3,47,16.6,26.5,18.2,34.8,7,0,0
Mar,0.8,7.5,55.7,15.7,28.4,20.6,36.3,8.7,0,0
Apr,3,7.4,57.7,14.3,31.1,24,38.3,16.9,0.45,0
May,22.2,6.4,58.9,13,30.3,23.8,36.8,22.2,3.16,0
Jun,75.1,5.8,55.5,12,29.4,23.4,35.4,25.1,7.63,0
Jul,140.6,4.4,65.8,10.1,26.8,21.8,31.9,25.3,11.74,0
Aug,181.6,3.7,72.1,9.3,25.5,20.9,30.2,25.5,13.19,0
Sep,112.1,4.2,61.7,11.1,26.5,21,32.1,25.2,9.26,0
Oct,1.4,5.2,53.8,14.4,27.4,20.2,34.6,19.3,0.32,0
Nov,0,5.8,50.1,16,23.6,15.6,31.6,8.1,0,0
Dec,0,6,40.2,17.5,23.8,15.1,32.6,10.1,0,0
Jan,0,5.5,63.7,14.1,20.8,13.8,27.9,5.7,0,0
Feb,0,7,49.9,16,24.6,16.6,32.6,5.7,0,0
Mar,1.9,7.4,54.8,15.9,28.6,20.7,36.6,10.1,0,0
Apr,4.6,7.5,58.3,14.6,31.5,24.2,38.8,16.8,0.59,0
May,81.4,6.3,58.3,12.7,29.7,23.4,36.1,21.7,6.04,0
Jun,84.4,5.5,56.3,11.6,28.5,22.7,34.3,24.4,8.04,0
Jul,243.8,4.1,68.9,8.9,25.1,20.7,29.6,23.2,15.14,0
Aug,258.3,3.6,72.4,8.5,24.7,20.5,29,24.3,15.45,0
Sep,162.5,4,61.8,10.5,24.9,19.7,30.2,23.4,11.13,0
Oct,33.7,5.1,55.7,14.2,26.4,19.3,33.5,18,3.02,0
Nov,0,5.9,52.7,15.9,24.1,16.2,32.1,8.1,0,0
Dec,0,5.4,50.8,15.8,20.4,12.5,28.3,7.5,0,0
Jan,0,5.5,57,15.3,19.1,11.5,26.8,4.8,0,0
Feb,0,6.8,50.5,16.3,24.4,16.3,32.6,6.8,0,0
Mar,0.2,7.4,56.1,15.5,28.3,20.6,36.1,9.4,0,0
Apr,24.3,7.2,59,13.6,30.8,24,37.6,16.6,2.02,0
May,97.9,6.2,61.3,12.2,29.6,23.5,35.7,21.4,7.13,0
Jun,92.5,5.4,60.2,11.6,28.2,22.4,34,23.6,8.38,0
Jul,228.7,4,68.4,9.3,25.3,20.7,30,24.2,14.89,0
Aug,200.3,3.5,72.7,8.6,24.7,20.4,29,24.5,13.7,0
Sep,159.6,3.9,60.7,10.1,24.8,19.8,29.9,24.1,11.04,0
Oct,7,5.1,54.2,14.1,26.1,19.1,33.2,17.5,0.7,0
Nov,0,5.9,47.7,16,25.2,17.2,33.2,9.8,0,0
Dec,0,5.5,50.9,15.4,22.6,14.9,30.3,9.4,0,0
Jan,0,5.9,49.9,16.4,21.4,13.2,29.6,6,0,0
Feb,0,6.7,65.9,14.8,26.2,18.8,33.6,8.5,0,0
Mar,0,7.2,56.3,15.7,27.4,19.6,35.3,9.2,0,0
Apr,15.9,7.1,60.4,13.6,30,23.2,36.8,16,1.04,0
May,58.6,6.2,60.6,11.9,30.1,24.2,36.1,22.8,5.61,0
Jun,125.6,5.2,57.8,11,27.2,21.7,32.7,22.9,9.8,0
Jul,152.3,4.2,68.1,9.1,25.9,21.4,30.5,24.2,12.37,0
Aug,200.5,3.8,70.3,9,25.2,20.7,29.7,24.2,13.71,0
Sep,159.6,4.1,60.8,10.8,25.4,20,30.8,23.6,10.87,0
Oct,109.3,4.7,63.2,11.5,26.7,21,32.5,19.2,5.27,0
Nov,0,5.9,46.3,15.8,25,17.1,32.9,10,0,0
Dec,0,5.9,42.5,17.5,23,14.3,31.8,9.2,0,0
Jan,0,5.9,51.7,16,22.4,14.4,30.4,6.9,0,0
Feb,0,6.8,51.7,15.6,24,16.2,31.8,5.5,0,0
Mar,0,7,64.1,14.7,26.5,19.2,33.9,7.4,0,0
Apr,0,7.1,57.8,14.7,29.5,22.2,36.9,15.8,0,0
May,34,6.4,57.1,13,30.1,23.6,36.6,22.2,4.34,0
Jun,104.8,5.5,56.6,11.6,28.5,22.7,34.3,24.3,8.86,0
Jul,116.3,4.2,67.5,9.4,26.1,21.4,30.8,24.5,10.75,0
Aug,307.6,3.3,73.6,8.3,24.3,20.2,28.5,24.9,16.75,0
Sep,113.2,4.1,59.9,11,25.7,20.2,31.2,24.7,9.43,0
Oct,3.7,5,53.5,13.6,26.3,19.5,33.1,18.7,0.72,0
Nov,0,6,43.6,17,23.7,15.2,32.2,7.7,0,0
Dec,0,5.4,47.5,15.8,21.2,13.3,29.1,8.4,0,0
Jan,0,5.9,50.8,16.1,21.5,13.5,29.6,5.9,0,0
Feb,0,7.1,46.8,16.5,25.6,17.4,33.9,7,0,0
Mar,1.5,7.3,55.8,15.6,28.8,21,36.6,10.4,0,0
Apr,47.6,6.8,64.3,12.1,30.8,24.8,36.9,18.2,3.4,0
May,57.7,6.1,58.5,12.4,29.8,23.6,36,23,5.18,0
Jun,141.7,5,58.8,10.7,27.1,21.8,32.5,23.8,10.24,0
Jul,232.4,3.7,69.9,8,24.7,20.7,28.7,24,14.88,0
Aug,224.8,3.7,69.8,9.3,25.3,20.7,30,25.2,14.38,0
Sep,114.9,4,60.5,10.7,25.2,19.9,30.6,24.6,9.38,0
Oct,59.2,5,56.8,13.3,27,20.4,33.7,19.1,3.79,0
Nov,0,5.8,47.6,15.3,24.2,16.6,31.9,8.8,0,0
Dec,0,5.9,40.1,17.7,22.8,14,31.7,9.5,0,0
Jan,0,6.2,43.6,17,22.7,14.2,31.2,6.3,0,0
Feb,0,7.3,44.7,16.7,25.3,17,33.7,5.6,0,0
Mar,1.8,7.5,59.8,14.4,29.4,22.2,36.6,9.1,0,0
Apr,30,7.1,56.5,14.5,29.9,22.7,37.2,16.6,3.02,0
May,55.4,6.1,60.8,12,29.9,23.9,35.9,22.6,5.51,0
Jun,138.2,5,58.5,10.9,27,21.6,32.5,24.2,10.13,0
Jul,248.7,4,67,9.5,25.6,20.9,30.4,24.8,15.44,0
Aug,225.4,3.7,70.5,8.8,25.4,21,29.8,25.6,14.51,0
Sep,166.9,4.3,59.3,10.9,26.2,20.8,31.7,24.8,11.08,0
Oct,27.7,5.2,53.7,13.9,27.4,20.5,34.4,19.2,2.33,0
Nov,0,6.1,47.2,15.7,26.4,18.6,34.3,10.2,0,0
Dec,0,5.5,47.1,16,21.3,13.3,29.3,8.3,0,0
Jan,0,6.2,42.1,17.4,23.2,14.5,31.9,7.2,0,0
Feb,0,7,51.5,15.5,25.4,17.7,33.2,6.2,0,0
Mar,0,7.5,54.8,15.9,28.6,20.7,36.6,9.3,0,0
Apr,0.4,7.4,56.1,14.5,30.8,23.6,38.1,16.6,0.18,0
May,127.8,6.1,64.3,11.2,30.3,24.7,35.9,22.7,7.75,0
Jun,102.1,5.1,58.5,10.4,27.6,22.4,32.8,24.2,8.94,0
Jul,316.7,4,65.2,9.5,25.4,20.7,30.2,24.8,17.26,0
Aug,241.3,3.6,71.3,8.9,25,20.6,29.5,25.3,15,0
Sep,69.9,4.3,60.8,11.2,26.5,20.9,32.1,24.9,7.6,0
Oct,31.5,5.2,55.5,13.6,27.4,20.6,34.2,19.1,2.79,0
Nov,0,5.9,49,15.3,25.6,18,33.3,10.2,0,0
Dec,0,5.4,48,15.8,21.3,13.4,29.2,8.4,0,0
Jan,0,5.8,46.1,17.2,19.6,11,28.2,4.7,0,0
Feb,0,7.1,43.9,16.9,24.9,16.5,33.4,6.3,0,0
Mar,0,7.5,55,15.3,28.8,21.2,36.5,9.5,0,0
Apr,33,7.3,57.7,14.1,30.8,23.8,37.9,16.8,3.36,0
May,65.8,6.1,61.8,11.6,30.1,24.3,35.9,22.8,5.86,0
Jun,118.7,5.3,57.3,10.5,28,22.8,33.3,24.1,9.24,0
Jul,229,3.9,68.7,8.4,25.5,21.3,29.7,24.8,14.84,0
Aug,175.5,3.9,69.7,9.3,25.9,21.3,30.6,25.4,12.89,0
Sep,100.8,4.2,61.3,10.6,26.2,20.9,31.5,24.8,8.12,0
Oct,1.9,5.2,53.7,14,27.4,20.4,34.4,19,0.23,0
Nov,0,5.8,51.6,14.7,24,16.7,31.4,8.3,0,0
Dec,0,6,36.5,17.9,22.6,13.7,31.6,8.8,0,0
Jan,0,6.1,49.5,16.4,22.1,13.9,30.3,5.7,0,0
Feb,0,6.6,54.2,15.1,23.8,16.3,31.4,6.8,0,0
Mar,0.3,7.2,59.2,14.4,28.5,21.3,35.7,9.8,0,0
Apr,57.2,7.3,60,13.2,31.5,24.9,38.1,17.2,4.46,0
May,34.1,6.3,61.9,11.7,30.4,24.6,36.3,22.8,3.95,0
Jun,88.1,5.5,57.3,10.8,28.5,23.1,33.9,24.2,8.22,0
Jul,151.3,4.5,66.1,9.7,27,22.2,31.9,24.9,12.37,0
Aug,222.1,3.5,72.4,8.5,25,20.8,29.3,25.2,14.46,0
Sep,70.8,4.4,60,11.2,26.7,21.1,32.3,24.9,7.01,0
Oct,10.7,5.2,55,13.5,27.4,20.7,34.2,19,1.14,0
Nov,0,5.6,47.7,15.6,23.4,15.6,31.2,9,0,0
Dec,0,5.8,39.5,17.3,22.5,13.9,31.2,9,0,0
Jan,0,5.3,63.1,13.4,18.3,11.6,25,4.1,0,0
Feb,0,7.2,46.6,16.1,25.6,17.6,33.7,6.3,0,0
Mar,3,7.1,54.9,15.1,26.2,18.7,33.8,7.7,0,0
Apr,0,7.6,55.1,15,31.3,23.8,38.8,16.4,0,0
May,29.5,6.8,57,12.8,31.6,25.2,38,22.9,3.3,0
Jun,95.8,5.4,59.4,10.9,28.6,23.2,34.1,24.4,8.58,0
Jul,129,4.5,66.1,9.6,27,22.2,31.8,25,11.48,0
Aug,153.8,4,70,8.7,26.3,22,30.7,25.3,12.01,0
Sep,124.9,4.2,60.2,10.9,26.3,20.9,31.8,25.2,9.73,0
Oct,0,5.2,51.5,14.1,26.5,19.5,33.6,18.1,0,0
Nov,0,6.2,40,17.3,25.2,16.6,33.9,9,0,0
Dec,0,5.9,44.4,16.5,23.6,15.4,31.9,9.6,0,0
Jan,0,5.8,44.9,16.2,20.7,12.6,28.8,5.8,0,0
Feb,0,7,48.2,16.5,24.4,16.2,32.7,6,0,0
Mar,0.1,7.6,55.3,15.4,29.6,21.9,37.3,10,0,0
Apr,2.4,7.3,61.9,13.3,31.3,24.7,38,16.9,0.39,0
May,55.8,6.4,63.3,11.3,31,25.4,36.7,22.8,5.07,0
Jun,58.7,5.5,57.5,11.2,28.6,23,34.2,24.2,6.66,0
Jul,152.1,4.4,65.4,9.8,26.8,21.9,31.7,25,12.37,0
Aug,113.3,4.5,66.4,10.3,27.5,22.4,32.7,25.4,10.49,0
Sep,132.1,4.3,60.9,10.6,26.7,21.4,32,24.8,9.9,0
Oct,27.9,5.1,57.4,12.7,27.8,21.5,34.2,20,2.1,0
Nov,0,6,44.7,15.6,25.5,17.7,33.3,9.4,0,0
Dec,0,5.4,50.9,15.2,21.3,13.7,28.9,8.4,0,0
Jan,0,6.1,51.1,15.8,23.6,15.7,31.5,7.1,0,0
Feb,0,6.8,52.7,15,23.4,15.9,30.9,4.7,0,0
Mar,20.5,7.3,62.6,13.4,29.8,23.1,36.5,10.8,0,0
Apr,3.5,6.6,65.2,12,29.2,23.2,35.2,16.5,0.75,0
May,61.7,6.3,62.7,11.5,30.9,25.2,36.7,23.1,5.11,0
Jun,98.9,5.4,58.5,10,28.5,23.5,33.5,24.5,8.75,0
Jul,160.9,4.1,68.7,8.8,25.9,21.5,30.3,24.5,12.48,0
Aug,188.6,3.8,69.4,9.1,25.6,21.1,30.2,25.4,13.37,0
Sep,107.2,4.1,61.6,10.7,25.7,20.4,31.1,24.7,9,0
Oct,0.8,5.2,51,13.5,27.1,20.4,33.9,19.2,0.24,0
Nov,0,6.1,44,16.4,25.4,17.2,33.6,9.7,0,0
Dec,0,5.4,52.5,14.7,21.4,14.1,28.8,8.1,0,0
Jan,0,5.9,43.5,16.8,21.1,12.7,29.5,5.6,0,0
Feb,0,7.4,44.3,16.6,26.7,18.4,35,7,0,0
Mar,1.5,7.5,58.5,14.7,29.9,22.6,37.3,10.1,0,0
Apr,2.3,7.6,59,13.8,32.3,25.4,39.2,17.1,0.58,0
May,23,6.5,58.3,12.4,30.6,24.4,36.8,22.6,3.53,0
Jun,63.5,5.7,56.5,11.4,28.9,23.2,34.6,23.9,6.82,0
Jul,212.8,4,68.7,8.8,25.6,21.2,30,24.7,14.2,0
Aug,185.6,3.8,69.9,9.5,25.5,20.8,30.3,25.3,13.28,0
Sep,150.1,3.9,62.7,10.4,25.4,20.2,30.6,24.8,10.69,0
Oct,3.2,5.2,53.5,13.6,27.1,20.3,33.9,18.9,0.51,0
Nov,0,6,45.8,15.6,25.3,17.5,33.1,9.4,0,0
Dec,0,5.3,49.3,15.2,20.8,13.2,28.4,8.1,0,0
Jan,0,6.2,38,17.6,22.2,13.4,31,6.5,0,0
Feb,0,7.2,44.4,16.8,25.9,17.5,34.3,7,0,0
Mar,1.5,7.4,57.8,14.6,28.9,21.6,36.2,9.3,0,0
Apr,0,7,58,14,29.4,22.4,36.4,15.7,0,0
May,32.2,6.9,52.3,13.7,31.2,24.4,38.1,22.5,3.33,0
Jun,103.9,5.5,56.8,11.1,28.6,23.1,34.2,24.3,8.57,0
Jul,136.1,4.7,63.6,10.6,28.3,23,33.6,27.6,11.71,0
Aug,166.4,3.7,70.6,8.9,26.5,22.1,31,27.7,12.36,0
Sep,67.5,4.2,60.9,10.5,27,21.8,32.3,27.1,7.34,0
Oct,12.7,5.1,56.2,12.8,27.3,20.9,33.7,19.1,1.36,0
Nov,0,6.1,43.2,16.6,25.3,17,33.6,9.3,0,0
Dec,0,5.8,44.3,16.1,22.8,14.8,30.9,9,0,0
Jan,0,5.7,56.4,14.6,21.7,14.4,29,6.3,0,0
Feb,0,6.9,53.3,15.3,25,17.4,32.7,6.1,0,0
Mar,0.4,7.3,57.2,14.6,28.9,21.6,36.2,10.2,0,0
Apr,51.1,7.3,61.1,12.9,31.6,25.2,38.1,17.1,3.35,0
May,35.9,6.6,59,12.2,31.2,25.1,37.3,22.9,4.17,0
Jun,150.8,5.5,58.9,10.4,28.7,23.5,33.9,24.3,10.48,0
Jul,162.2,4,69.9,8.2,25.9,21.8,30,25,12.78,0
Aug,325.9,3.3,73.6,7.7,24.6,20.8,28.5,25.4,16.91,0
Sep,140.2,3.9,64.1,9.6,25.6,20.8,30.4,25.1,10.28,0
Oct,26.4,5,53.3,13.8,26.2,19.3,33.1,18.8,1.73,0
Nov,0,6.1,40.2,17.5,24.8,16.1,33.6,9.3,0,0
Dec,0,5.4,50.8,15.2,21.5,13.9,29.1,8.7,0,0
Jan,0,5.4,51.8,15.2,19.2,11.6,26.8,5.4,0,0
Feb,0,6.4,55.1,15,21.9,14.4,29.4,4.7,0,0
Mar,0,7.2,51.4,16.4,27.3,19.1,35.5,9.6,0,0
Apr,6.8,7.5,51.3,15.7,30.4,22.6,38.3,16.7,0.95,0
May,36.8,6.2,59.8,12.2,29.7,23.6,35.8,22.3,4.24,0
Jun,62.4,5.5,56.9,11.5,28.4,22.7,34.2,24.2,7.09,0
Jul,179.4,4.3,67,9.3,26.4,21.8,31.1,25,13.32,0
Aug,274.4,3.5,70.4,8.8,24.9,20.5,29.3,25.5,15.89,0
Sep,67.1,4.1,61.8,10.3,26.2,21.1,31.4,25,7.26,0
Oct,50.1,4.9,56,13.1,26.3,19.8,32.9,18.7,3.32,0
Nov,0,6,42.9,16.6,24.7,16.4,33,8.9,0,0
